route_id,method,full_path,router_domain,w0_runtime_status,w0_auth_dependency,w0_store_check,w0_resource_check,w0_authoritative_storage,collision_group,frontend_direct_access,w1_disposition,canonical_operation_id,canonical_path_candidate,deprecation_or_merge_batch,required_safety_changes,evidence_file_line,notes
r001,POST,/api/auth/wechat/login,identity_i1_PR4_OFF,CODE_ONLY,NONE_public_login,NONE,NONE,identity_metadata:dl_app_user+dl_wechat_identity+dl_auth_session,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-LOGIN,/api/auth/wechat/login,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r001,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r002,POST,/api/auth/logout,identity_i1_PR4_OFF,CODE_ONLY,bearer_optional_idempotent,NONE,session_token,identity_metadata:dl_auth_session,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-LOGOUT,/api/auth/logout,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r002,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r003,GET,/api/auth/me,identity_i1_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,identity_metadata:dl_store_member_binding,NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-AUTH-ME,/api/auth/me,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r003,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r004,GET,/api/daily-loop/v1/tasks,daily_loop_facade_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,upstream_daily_loop:DailyCustomerTask(serialization.py:14),NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-DLTASK-LIST,/api/daily-loop/v1/tasks,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r004,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r005,GET,/api/daily-loop/v1/appointments,daily_loop_facade_PR4_OFF,CODE_ONLY,require_session,SESSION_BINDING,SESSION,upstream_daily_loop:Appointment(serialization.py:20),NONE,ALLOW_AFTER_W1_FREEZE_AND_IMPLEMENTATION,KEEP_AS_CANDIDATE,OP-DLAPPT-LIST,/api/daily-loop/v1/appointments,W3,clean_branch_review_or_merge;feature_flag_enablement;unified_envelope;rate_limit;auth_session_store_scope_validation;W3_E2E_and_privilege_tests,R3A:r005,merge_identity_branch_via_PR4_review;enable_flags;unified_envelope
r006,POST,/api/auth/wechat-login,weapp_main,CODE_ONLY,MOCK_no_verify,NONE,NONE,in_memory_dict_USERS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W3,add_session_auth,R3A:r006,mock_login_removed;replaced_by_OP-AUTH-LOGIN
r007,GET,/api/stores/profile,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_dict_STORES,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r007,in_memory_store_profile_replaced_by_persistent_store_domain
r008,POST,/api/stores/profile,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_dict_STORES,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r008,in_memory_store_profile_replaced_by_persistent_store_domain
r009,POST,/api/content/generate,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,coze_bot_or_local_template_then_in_memory_CONTENTS,NONE,BLOCK,WRAP_WITH_FACADE,OP-CONTENT-GENERATE,/api/v1/contents/generate,W5,add_session_auth,R3A:r009,session_auth+persist_result+keep_engine
r010,GET,/api/content/history,weapp_main,CODE_ONLY,HEADER_OPT,NONE,NONE,in_memory_list_CONTENTS,NONE,BLOCK,REPLACE_WITH_NEW_DOMAIN,NONE,NONE,W5,add_session_auth,R3A:r010,in_memory_content_replaced_by_persistent_content_domain
